Stock,Date,Arbitrage_Score,Return,Volume
META,2024-02-02,1.16,0.20317629120386504,84615500
NFLX,2023-10-19,1.01,0.16054763621220602,28074400
NFLX,2021-01-20,1.01,0.16854343562482876,32637500
NFLX,2023-05-18,1.01,0.09215795351607903,20925200
META,2022-04-28,1.01,0.17593599559412842,100890600
NFLX,2022-10-19,1.01,0.13086441996424325,46685300
META,2023-02-02,1.01,0.23282395402059297,150475700
META,2023-04-27,1.01,0.13925502562138958,71196500
NOW,2024-07-25,1.01,0.13397729221933075,6549800
NFLX,2024-01-24,1.01,0.10703182188681826,26432800
META,2022-02-03,0.9960000000000001,-0.26390103965138045,188119900
NFLX,2022-04-20,0.9960000000000001,-0.3511660252264417,133387500
NFLX,2022-01-21,0.9960000000000001,-0.21790457452041323,58904300
NFLX,2024-10-18,0.9060000000000001,0.11087033742104224,15974100
NOW,2022-10-27,0.9060000000000001,0.1344395875475357,5625800
NFLX,2020-07-10,0.9060000000000001,0.08068766723483445,21605600
FLL,2020-03-12,0.86,-0.38505744448992063,745700
NFLX,2021-08-19,0.8540000000000001,0.04184955460136108,7497300
NFLX,2020-08-26,0.8540000000000001,0.11608717086590792,20373700
FLL,2020-10-16,0.8500000000000001,0.14772721628348262,967600
FLL,2021-01-19,0.8500000000000001,0.1617646715082781,703700
FLL,2021-12-08,0.8500000000000001,0.18014321317753335,2500800
FLL,2023-11-09,0.8500000000000001,0.18670070706656183,759600
NOW,2024-05-30,0.8460000000000001,-0.12013078246583297,5098200
NOW,2022-07-12,0.8460000000000001,-0.12736540014774644,6864300
NFLX,2024-04-19,0.8460000000000001,-0.09093294639880478,16425000
META,2020-06-26,0.8460000000000001,-0.08316347412069502,76343900
NFLX,2023-07-20,0.8460000000000001,-0.08410976615543753,23989700
NFLX,2021-07-21,0.8460000000000001,-0.0328029061492936,11906800
META,2021-09-22,0.8460000000000001,-0.03991847892097444,43692900
META,2022-10-27,0.8460000000000001,-0.24557074284071878,232316600
META,2024-04-25,0.8460000000000001,-0.10561291292335828,82890700
META,2021-07-23,0.8099999999999999,0.052962663366013185,33694300
NFLX,2021-10-05,0.8099999999999999,0.05214224454406269,9534300
FLL,2023-05-09,0.77,0.09424914603495438,286900
FLL,2022-03-09,0.77,0.1838235328491722,724500
FLL,2021-12-06,0.77,0.09122803690886827,535600
META,2021-04-29,0.75,0.0729730488570961,56526800
FLL,2021-08-11,0.75,0.08743842957555503,734100
FLL,2020-10-05,0.75,0.125,393200
FLL,2020-08-07,0.75,0.1785714767214408,1221100
FLL,2020-08-06,0.75,0.19148935270791512,743400
NOW,2024-10-24,0.75,0.053873639177512755,3401000
NFLX,2023-01-20,0.75,0.08461587600226106,28430300
FLL,2022-05-10,0.71,-0.12816899431482498,1546900
FLL,2023-03-08,0.71,-0.10674726959113978,333100
FLL,2023-08-09,0.71,-0.17179901615434623,1060200
FLL,2024-11-07,0.71,-0.08052439941736578,234700
META,2024-07-05,0.7060000000000001,0.058729939316699564,21354100
NOW,2024-12-04,0.7060000000000001,0.06224233149552072,2063000
NFLX,2020-07-01,0.7060000000000001,0.06724684759339095,9705900
NOW,2021-01-28,0.7060000000000001,0.07306871294167472,3282700
NFLX,2023-03-23,0.7060000000000001,0.09006465386326701,15653300
